Customer,date,Time,GC,datetime,GG,NL
11,01-Jul-10,0:00,0.817,2010-07-01 00:00:00,0.0,0.817
11,01-Jul-10,0:30,0.118,2010-07-01 00:30:00,0.0,0.118
11,01-Jul-10,1:00,0.138,2010-07-01 01:00:00,0.0,0.138
11,01-Jul-10,1:30,0.118,2010-07-01 01:30:00,0.0,0.118
11,01-Jul-10,2:00,0.108,2010-07-01 02:00:00,0.0,0.108
11,01-Jul-10,2:30,0.096,2010-07-01 02:30:00,0.0,0.096
11,01-Jul-10,3:00,0.12,2010-07-01 03:00:00,0.0,0.12
11,01-Jul-10,3:30,0.127,2010-07-01 03:30:00,0.0,0.127
11,01-Jul-10,4:00,0.161,2010-07-01 04:00:00,0.0,0.161
11,01-Jul-10,4:30,0.124,2010-07-01 04:30:00,0.0,0.124
11,01-Jul-10,5:00,0.094,2010-07-01 05:00:00,0.0,0.094
11,01-Jul-10,5:30,0.108,2010-07-01 05:30:00,0.0,0.108
11,01-Jul-10,6:00,0.109,2010-07-01 06:00:00,0.0,0.109
11,01-Jul-10,6:30,0.134,2010-07-01 06:30:00,0.0,0.134
11,01-Jul-10,7:00,0.126,2010-07-01 07:00:00,0.0,0.126
11,01-Jul-10,7:30,0.096,2010-07-01 07:30:00,0.008,0.088
11,01-Jul-10,8:00,0.478,2010-07-01 08:00:00,0.05,0.428
11,01-Jul-10,8:30,0.372,2010-07-01 08:30:00,0.129,0.243
11,01-Jul-10,9:00,0.613,2010-07-01 09:00:00,0.313,0.3
11,01-Jul-10,9:30,0.753,2010-07-01 09:30:00,0.394,0.359
11,01-Jul-10,10:00,0.716,2010-07-01 10:00:00,0.417,0.299
11,01-Jul-10,10:30,0.717,2010-07-01 10:30:00,0.492,0.22499999999999998
11,01-Jul-10,11:00,0.693,2010-07-01 11:00:00,0.549,0.1439999999999999
11,01-Jul-10,11:30,0.62,2010-07-01 11:30:00,0.594,0.026000000000000023
11,01-Jul-10,12:00,0.635,2010-07-01 12:00:00,0.593,0.04200000000000004
11,01-Jul-10,12:30,0.461,2010-07-01 12:30:00,0.6,-0.13899999999999996
11,01-Jul-10,13:00,0.146,2010-07-01 13:00:00,0.581,-0.43499999999999994
11,01-Jul-10,13:30,0.313,2010-07-01 13:30:00,0.529,-0.21600000000000003
11,01-Jul-10,14:00,0.314,2010-07-01 14:00:00,0.49,-0.176
11,01-Jul-10,14:30,0.621,2010-07-01 14:30:00,0.346,0.275
11,01-Jul-10,15:00,0.382,2010-07-01 15:00:00,0.303,0.07900000000000001
11,01-Jul-10,15:30,0.466,2010-07-01 15:30:00,0.23,0.23600000000000002
11,01-Jul-10,16:00,0.517,2010-07-01 16:00:00,0.099,0.41800000000000004
11,01-Jul-10,16:30,0.65,2010-07-01 16:30:00,0.02,0.63
11,01-Jul-10,17:00,0.926,2010-07-01 17:00:00,0.006,0.92
11,01-Jul-10,17:30,1.469,2010-07-01 17:30:00,0.0,1.469
11,01-Jul-10,18:00,1.426,2010-07-01 18:00:00,0.0,1.426
11,01-Jul-10,18:30,1.786,2010-07-01 18:30:00,0.0,1.786
11,01-Jul-10,19:00,1.679,2010-07-01 19:00:00,0.0,1.679
11,01-Jul-10,19:30,0.745,2010-07-01 19:30:00,0.0,0.745
11,01-Jul-10,20:00,0.59,2010-07-01 20:00:00,0.0,0.59
11,01-Jul-10,20:30,0.748,2010-07-01 20:30:00,0.0,0.748
11,01-Jul-10,21:00,0.892,2010-07-01 21:00:00,0.0,0.892
11,01-Jul-10,21:30,0.767,2010-07-01 21:30:00,0.0,0.767
11,01-Jul-10,22:00,0.879,2010-07-01 22:00:00,0.0,0.879
11,01-Jul-10,22:30,0.641,2010-07-01 22:30:00,0.0,0.641
11,01-Jul-10,23:00,1.297,2010-07-01 23:00:00,0.0,1.297
11,01-Jul-10,23:30,0.967,2010-07-01 23:30:00,0.0,0.967
11,02-Jul-10,0:00,0.766,2010-07-02 00:00:00,0.0,0.766
11,02-Jul-10,0:30,0.217,2010-07-02 00:30:00,0.0,0.217
11,02-Jul-10,1:00,0.111,2010-07-02 01:00:00,0.0,0.111
11,02-Jul-10,1:30,0.148,2010-07-02 01:30:00,0.0,0.148
11,02-Jul-10,2:00,0.112,2010-07-02 02:00:00,0.0,0.112
11,02-Jul-10,2:30,0.12,2010-07-02 02:30:00,0.0,0.12
11,02-Jul-10,3:00,0.111,2010-07-02 03:00:00,0.0,0.111
11,02-Jul-10,3:30,0.096,2010-07-02 03:30:00,0.0,0.096
11,02-Jul-10,4:00,0.121,2010-07-02 04:00:00,0.0,0.121
11,02-Jul-10,4:30,0.152,2010-07-02 04:30:00,0.0,0.152
11,02-Jul-10,5:00,0.096,2010-07-02 05:00:00,0.0,0.096
11,02-Jul-10,5:30,0.121,2010-07-02 05:30:00,0.0,0.121
11,02-Jul-10,6:00,0.121,2010-07-02 06:00:00,0.0,0.121
11,02-Jul-10,6:30,0.112,2010-07-02 06:30:00,0.0,0.112
11,02-Jul-10,7:00,0.125,2010-07-02 07:00:00,0.0,0.125
11,02-Jul-10,7:30,0.259,2010-07-02 07:30:00,0.0,0.259
11,02-Jul-10,8:00,0.692,2010-07-02 08:00:00,0.018,0.6739999999999999
11,02-Jul-10,8:30,0.611,2010-07-02 08:30:00,0.061,0.55
11,02-Jul-10,9:00,0.342,2010-07-02 09:00:00,0.126,0.21600000000000003
11,02-Jul-10,9:30,0.386,2010-07-02 09:30:00,0.108,0.278
11,02-Jul-10,10:00,0.532,2010-07-02 10:00:00,0.096,0.43600000000000005
11,02-Jul-10,10:30,0.522,2010-07-02 10:30:00,0.114,0.40800000000000003
11,02-Jul-10,11:00,0.488,2010-07-02 11:00:00,0.113,0.375
11,02-Jul-10,11:30,0.364,2010-07-02 11:30:00,0.138,0.22599999999999998
11,02-Jul-10,12:00,0.362,2010-07-02 12:00:00,0.153,0.209
11,02-Jul-10,12:30,0.472,2010-07-02 12:30:00,0.178,0.294
11,02-Jul-10,13:00,0.466,2010-07-02 13:00:00,0.215,0.251
11,02-Jul-10,13:30,0.421,2010-07-02 13:30:00,0.156,0.265
11,02-Jul-10,14:00,0.378,2010-07-02 14:00:00,0.175,0.203
11,02-Jul-10,14:30,0.399,2010-07-02 14:30:00,0.139,0.26
11,02-Jul-10,15:00,0.482,2010-07-02 15:00:00,0.088,0.394
11,02-Jul-10,15:30,0.472,2010-07-02 15:30:00,0.049,0.423
11,02-Jul-10,16:00,0.444,2010-07-02 16:00:00,0.03,0.41400000000000003
11,02-Jul-10,16:30,0.431,2010-07-02 16:30:00,0.018,0.413
11,02-Jul-10,17:00,0.501,2010-07-02 17:00:00,0.002,0.499
11,02-Jul-10,17:30,0.431,2010-07-02 17:30:00,0.0,0.431
11,02-Jul-10,18:00,0.449,2010-07-02 18:00:00,0.0,0.449
11,02-Jul-10,18:30,0.892,2010-07-02 18:30:00,0.0,0.892
11,02-Jul-10,19:00,0.827,2010-07-02 19:00:00,0.0,0.827
11,02-Jul-10,19:30,1.024,2010-07-02 19:30:00,0.0,1.024
11,02-Jul-10,20:00,1.115,2010-07-02 20:00:00,0.0,1.115
11,02-Jul-10,20:30,1.164,2010-07-02 20:30:00,0.0,1.164
11,02-Jul-10,21:00,0.491,2010-07-02 21:00:00,0.0,0.491
11,02-Jul-10,21:30,0.477,2010-07-02 21:30:00,0.0,0.477
11,02-Jul-10,22:00,0.495,2010-07-02 22:00:00,0.0,0.495
11,02-Jul-10,22:30,0.549,2010-07-02 22:30:00,0.0,0.549
11,02-Jul-10,23:00,0.76,2010-07-02 23:00:00,0.0,0.76
11,02-Jul-10,23:30,0.734,2010-07-02 23:30:00,0.0,0.734
11,03-Jul-10,0:00,0.123,2010-07-03 00:00:00,0.0,0.123
11,03-Jul-10,0:30,0.162,2010-07-03 00:30:00,0.0,0.162
11,03-Jul-10,1:00,0.099,2010-07-03 01:00:00,0.0,0.099
11,03-Jul-10,1:30,0.115,2010-07-03 01:30:00,0.0,0.115
11,03-Jul-10,2:00,0.115,2010-07-03 02:00:00,0.0,0.115
11,03-Jul-10,2:30,0.136,2010-07-03 02:30:00,0.0,0.136
11,03-Jul-10,3:00,0.148,2010-07-03 03:00:00,0.0,0.148
11,03-Jul-10,3:30,0.167,2010-07-03 03:30:00,0.0,0.167
11,03-Jul-10,4:00,0.114,2010-07-03 04:00:00,0.0,0.114
11,03-Jul-10,4:30,0.113,2010-07-03 04:30:00,0.0,0.113
11,03-Jul-10,5:00,0.099,2010-07-03 05:00:00,0.0,0.099
11,03-Jul-10,5:30,0.107,2010-07-03 05:30:00,0.0,0.107
11,03-Jul-10,6:00,0.094,2010-07-03 06:00:00,0.0,0.094
11,03-Jul-10,6:30,0.228,2010-07-03 06:30:00,0.0,0.228
11,03-Jul-10,7:00,0.13,2010-07-03 07:00:00,0.0,0.13
11,03-Jul-10,7:30,0.296,2010-07-03 07:30:00,0.012,0.284
11,03-Jul-10,8:00,0.523,2010-07-03 08:00:00,0.048,0.47500000000000003
11,03-Jul-10,8:30,0.58,2010-07-03 08:30:00,0.135,0.44499999999999995
11,03-Jul-10,9:00,0.605,2010-07-03 09:00:00,0.302,0.303
11,03-Jul-10,9:30,0.795,2010-07-03 09:30:00,0.412,0.38300000000000006
11,03-Jul-10,10:00,0.723,2010-07-03 10:00:00,0.467,0.25599999999999995
11,03-Jul-10,10:30,0.797,2010-07-03 10:30:00,0.497,0.30000000000000004
11,03-Jul-10,11:00,0.849,2010-07-03 11:00:00,0.551,0.29799999999999993
11,03-Jul-10,11:30,0.891,2010-07-03 11:30:00,0.6,0.29100000000000004
11,03-Jul-10,12:00,1.765,2010-07-03 12:00:00,0.604,1.161
11,03-Jul-10,12:30,1.925,2010-07-03 12:30:00,0.62,1.3050000000000002
11,03-Jul-10,13:00,1.406,2010-07-03 13:00:00,0.609,0.7969999999999999
11,03-Jul-10,13:30,1.527,2010-07-03 13:30:00,0.553,0.9739999999999999
11,03-Jul-10,14:00,1.66,2010-07-03 14:00:00,0.513,1.1469999999999998
11,03-Jul-10,14:30,1.447,2010-07-03 14:30:00,0.455,0.992
11,03-Jul-10,15:00,0.676,2010-07-03 15:00:00,0.371,0.30500000000000005
11,03-Jul-10,15:30,0.812,2010-07-03 15:30:00,0.298,0.514
11,03-Jul-10,16:00,0.741,2010-07-03 16:00:00,0.166,0.575
11,03-Jul-10,16:30,0.825,2010-07-03 16:30:00,0.086,0.739
11,03-Jul-10,17:00,0.838,2010-07-03 17:00:00,0.006,0.832
11,03-Jul-10,17:30,0.907,2010-07-03 17:30:00,0.0,0.907
11,03-Jul-10,18:00,1.247,2010-07-03 18:00:00,0.0,1.247
11,03-Jul-10,18:30,1.881,2010-07-03 18:30:00,0.0,1.881
11,03-Jul-10,19:00,1.961,2010-07-03 19:00:00,0.0,1.961
11,03-Jul-10,19:30,1.36,2010-07-03 19:30:00,0.0,1.36
11,03-Jul-10,20:00,1.059,2010-07-03 20:00:00,0.0,1.059
11,03-Jul-10,20:30,1.076,2010-07-03 20:30:00,0.0,1.076
11,03-Jul-10,21:00,1.088,2010-07-03 21:00:00,0.0,1.088
11,03-Jul-10,21:30,1.064,2010-07-03 21:30:00,0.0,1.064
11,03-Jul-10,22:00,1.031,2010-07-03 22:00:00,0.0,1.031
11,03-Jul-10,22:30,1.131,2010-07-03 22:30:00,0.0,1.131
11,03-Jul-10,23:00,0.722,2010-07-03 23:00:00,0.0,0.722
11,03-Jul-10,23:30,0.865,2010-07-03 23:30:00,0.0,0.865
11,04-Jul-10,0:00,0.127,2010-07-04 00:00:00,0.0,0.127
11,04-Jul-10,0:30,0.096,2010-07-04 00:30:00,0.0,0.096
11,04-Jul-10,1:00,0.117,2010-07-04 01:00:00,0.0,0.117
11,04-Jul-10,1:30,0.097,2010-07-04 01:30:00,0.0,0.097
11,04-Jul-10,2:00,0.153,2010-07-04 02:00:00,0.0,0.153
11,04-Jul-10,2:30,0.113,2010-07-04 02:30:00,0.0,0.113
11,04-Jul-10,3:00,0.094,2010-07-04 03:00:00,0.0,0.094
11,04-Jul-10,3:30,0.121,2010-07-04 03:30:00,0.0,0.121
11,04-Jul-10,4:00,0.102,2010-07-04 04:00:00,0.0,0.102
11,04-Jul-10,4:30,0.1,2010-07-04 04:30:00,0.0,0.1
11,04-Jul-10,5:00,0.163,2010-07-04 05:00:00,0.0,0.163
11,04-Jul-10,5:30,0.094,2010-07-04 05:30:00,0.0,0.094
11,04-Jul-10,6:00,0.107,2010-07-04 06:00:00,0.0,0.107
11,04-Jul-10,6:30,0.113,2010-07-04 06:30:00,0.0,0.113
11,04-Jul-10,7:00,0.097,2010-07-04 07:00:00,0.0,0.097
11,04-Jul-10,7:30,0.107,2010-07-04 07:30:00,0.007,0.09999999999999999
11,04-Jul-10,8:00,0.138,2010-07-04 08:00:00,0.049,0.08900000000000001
11,04-Jul-10,8:30,0.116,2010-07-04 08:30:00,0.132,-0.016
11,04-Jul-10,9:00,0.489,2010-07-04 09:00:00,0.297,0.192
11,04-Jul-10,9:30,0.972,2010-07-04 09:30:00,0.405,0.567
11,04-Jul-10,10:00,0.702,2010-07-04 10:00:00,0.459,0.24299999999999994
11,04-Jul-10,10:30,0.665,2010-07-04 10:30:00,0.479,0.18600000000000005
11,04-Jul-10,11:00,0.777,2010-07-04 11:00:00,0.53,0.247
11,04-Jul-10,11:30,0.808,2010-07-04 11:30:00,0.571,0.2370000000000001
11,04-Jul-10,12:00,0.77,2010-07-04 12:00:00,0.491,0.279
11,04-Jul-10,12:30,0.671,2010-07-04 12:30:00,0.494,0.17700000000000005
11,04-Jul-10,13:00,0.659,2010-07-04 13:00:00,0.593,0.06600000000000006
11,04-Jul-10,13:30,0.761,2010-07-04 13:30:00,0.404,0.357
11,04-Jul-10,14:00,0.681,2010-07-04 14:00:00,0.469,0.21200000000000008
11,04-Jul-10,14:30,0.689,2010-07-04 14:30:00,0.479,0.20999999999999996
11,04-Jul-10,15:00,0.682,2010-07-04 15:00:00,0.237,0.44500000000000006
11,04-Jul-10,15:30,0.687,2010-07-04 15:30:00,0.256,0.43100000000000005
