Customer,date,Consumption Category,Time,value
1,2011-06-30,GC,0:00,0.65
1,2011-05-02,GC,0:00,0.531
1,2011-04-28,GC,0:00,0.649
1,2011-03-28,GC,0:00,0.494
1,2011-05-26,GC,0:00,0.13
1,2011-05-22,GC,0:00,0.691
1,2011-06-14,GC,0:00,0.055
1,2010-07-15,GC,0:00,0.11
1,2011-03-04,GC,0:00,0.52
1,2011-03-30,GC,0:00,0.641
1,2011-04-27,GC,0:00,0.597
1,2010-07-12,GC,0:00,1.618
1,2010-10-08,GC,0:00,0.206
1,2010-10-07,GC,0:00,0.144
1,2010-10-06,GC,0:00,0.462
1,2010-10-05,GC,0:00,0.336
1,2010-10-04,GC,0:00,0.123
1,2010-10-03,GC,0:00,0.776
1,2010-10-02,GC,0:00,1.016
1,2011-06-06,GC,0:00,0.074
1,2011-04-09,GC,0:00,0.657
1,2011-05-30,GC,0:00,1.054
1,2011-05-01,GC,0:00,0.508
1,2011-04-11,GC,0:00,0.812
1,2011-03-23,GC,0:00,0.612
1,2011-03-24,GC,0:00,0.862
1,2011-05-20,GC,0:00,0.57
1,2011-04-30,GC,0:00,0.559
1,2011-03-25,GC,0:00,0.487
1,2011-06-16,GC,0:00,1.092
1,2011-06-04,GC,0:00,0.056
1,2011-06-15,GC,0:00,0.031
1,2011-04-29,GC,0:00,0.805
1,2010-10-01,GC,0:00,0.789
1,2010-10-09,GC,0:00,0.455
1,2010-09-13,GC,0:00,0.756
1,2011-04-10,GC,0:00,0.604
1,2011-03-26,GC,0:00,0.504
1,2010-09-29,GC,0:00,0.968
1,2010-09-28,GC,0:00,0.813
1,2010-07-03,GC,0:00,0.124
1,2011-03-27,GC,0:00,0.804
1,2010-07-04,GC,0:00,0.232
1,2010-09-30,GC,0:00,0.822
1,2011-03-29,GC,0:00,0.488
1,2011-06-12,GC,0:00,0.044
1,2011-03-22,GC,0:00,0.465
1,2010-11-01,GC,0:00,0.32
1,2010-10-31,GC,0:00,0.172
1,2010-10-30,GC,0:00,0.186
1,2010-10-29,GC,0:00,0.837
1,2010-10-28,GC,0:00,0.278
1,2010-10-27,GC,0:00,0.327
1,2010-10-26,GC,0:00,0.205
1,2010-10-13,GC,0:00,0.391
1,2010-10-25,GC,0:00,0.444
1,2010-10-24,GC,0:00,0.805
1,2010-10-23,GC,0:00,0.578
1,2010-10-22,GC,0:00,0.279
1,2010-10-21,GC,0:00,0.209
1,2010-10-20,GC,0:00,0.166
1,2010-10-19,GC,0:00,0.286
1,2010-10-18,GC,0:00,0.199
1,2010-10-17,GC,0:00,0.972
1,2010-10-16,GC,0:00,0.199
1,2011-05-19,GC,0:00,1.256
1,2011-06-17,GC,0:00,0.084
1,2010-11-04,GC,0:00,0.744
1,2010-09-27,GC,0:00,0.817
1,2010-11-05,GC,0:00,1.044
1,2010-09-26,GC,0:00,1.047
1,2010-09-25,GC,0:00,0.788
1,2010-09-24,GC,0:00,1.39
1,2010-09-23,GC,0:00,1.042
1,2010-09-22,GC,0:00,1.509
1,2010-09-21,GC,0:00,0.775
1,2010-09-20,GC,0:00,0.845
1,2010-09-19,GC,0:00,0.756
1,2010-09-18,GC,0:00,0.992
1,2010-09-17,GC,0:00,1.452
1,2010-09-16,GC,0:00,0.748
1,2010-09-15,GC,0:00,1.128
1,2010-07-13,GC,0:00,0.396
1,2010-10-10,GC,0:00,0.169
1,2010-10-11,GC,0:00,1.552
1,2010-10-12,GC,0:00,0.746
1,2010-07-11,GC,0:00,0.35
1,2010-11-07,GC,0:00,0.766
1,2010-11-06,GC,0:00,0.733
1,2011-04-02,GC,0:00,0.798
1,2011-03-20,GC,0:00,0.479
1,2011-04-22,GC,0:00,0.776
1,2011-04-20,GC,0:00,0.554
1,2011-06-03,GC,0:00,0.023
1,2011-03-12,GC,0:00,0.659
1,2011-06-07,GC,0:00,0.065
1,2011-06-28,GC,0:00,0.094
1,2011-04-21,GC,0:00,0.875
1,2011-05-29,GC,0:00,0.067
1,2011-06-13,GC,0:00,0.073
1,2011-03-05,GC,0:00,0.581
1,2011-05-21,GC,0:00,0.115
1,2011-03-06,GC,0:00,0.503
1,2011-06-05,GC,0:00,0.07
1,2011-05-13,GC,0:00,0.556
1,2011-04-16,GC,0:00,1.133
1,2011-03-07,GC,0:00,0.517
1,2011-04-18,GC,0:00,0.673
1,2011-06-29,GC,0:00,0.042
1,2011-05-10,GC,0:00,0.515
1,2011-05-31,GC,0:00,0.095
1,2011-05-18,GC,0:00,0.568
1,2011-03-19,GC,0:00,0.782
1,2010-11-02,GC,0:00,0.189
1,2010-11-03,GC,0:00,0.456
1,2011-03-15,GC,0:00,0.542
1,2011-04-19,GC,0:00,0.832
1,2011-06-24,GC,0:00,1.078
1,2011-06-23,GC,0:00,0.091
1,2011-03-14,GC,0:00,0.579
1,2010-07-02,GC,0:00,0.111
1,2011-06-22,GC,0:00,0.06
1,2011-04-14,GC,0:00,0.601
1,2011-05-16,GC,0:00,0.523
1,2011-04-07,GC,0:00,0.617
1,2011-05-05,GC,0:00,1.337
1,2011-03-13,GC,0:00,0.575
1,2011-05-27,GC,0:00,0.434
1,2011-04-13,GC,0:00,0.85
1,2011-06-21,GC,0:00,1.064
1,2011-03-17,GC,0:00,0.497
1,2011-05-04,GC,0:00,0.499
1,2011-05-17,GC,0:00,1.222
1,2011-05-06,GC,0:00,0.538
1,2010-10-15,GC,0:00,0.299
1,2011-04-12,GC,0:00,0.578
1,2011-06-20,GC,0:00,0.046
1,2011-03-16,GC,0:00,0.618
1,2011-04-26,GC,0:00,0.516
1,2011-06-10,GC,0:00,0.033
1,2011-04-08,GC,0:00,0.979
1,2011-04-01,GC,0:00,0.613
1,2011-05-23,GC,0:00,0.094
1,2011-06-09,GC,0:00,0.023
1,2011-03-21,GC,0:00,0.817
1,2011-04-23,GC,0:00,0.567
1,2011-05-24,GC,0:00,0.08
1,2011-04-03,GC,0:00,0.585
1,2011-04-04,GC,0:00,0.643
1,2010-07-01,GC,0:00,0.125
1,2011-04-25,GC,0:00,0.621
1,2011-06-08,GC,0:00,0.022
1,2011-05-12,GC,0:00,1.347
1,2011-04-05,GC,0:00,0.585
1,2011-05-25,GC,0:00,0.111
1,2011-04-24,GC,0:00,0.701
1,2011-04-06,GC,0:00,0.636
1,2011-06-01,GC,0:00,0.046
1,2011-05-11,GC,0:00,1.512
1,2010-07-05,GC,0:00,0.378
1,2011-05-15,GC,0:00,1.369
1,2011-04-17,GC,0:00,0.831
1,2011-05-03,GC,0:00,0.482
1,2011-03-18,GC,0:00,0.532
1,2011-06-02,GC,0:00,0.078
